Timestamp,SequenceNumber,MavlinkCommand,IPSourceHost,TCPSourcePort,IPDestHost,TCPDestPort,PacketLength
1679497278.125516314,3927576314,,172.16.0.8,5760,10.241.115.1,38510,80
1679497278.156811385,3927576342,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.156975180,3927576471,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.196285957,3927576540,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.196320139,3927576669,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.236425504,3927576738,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.236488847,3927576867,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.236514742,3927576936,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497278.236522294,3927576976,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497278.245393184,3927577006,,172.16.0.8,5760,10.241.115.1,38510,80
1679497278.254673296,3927577034,102,172.16.0.8,5760,10.241.115.1,38510,250
1679497278.276320222,3927577232,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.292188233,3927577361,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.356347483,3927577430,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.356381994,3927577559,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.356392138,3927577628,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497278.356399973,3927577668,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497278.365356803,3927577698,,172.16.0.8,5760,10.241.115.1,38510,80
1679497278.374712602,3927577726,102,172.16.0.8,5760,10.241.115.1,38510,507
1679497278.396221353,3927578181,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.396255179,3927578310,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.396264723,3927578379,1,172.16.0.8,5760,10.241.115.1,38510,95
1679497278.396272188,3927578422,125,172.16.0.8,5760,10.241.115.1,38510,69
1679497278.405247581,3927578439,,172.16.0.8,5760,10.241.115.1,38510,70
1679497278.405264661,3927578457,62,172.16.0.8,5760,10.241.115.1,38510,72
1679497278.414406851,3927578477,42,172.16.0.8,5760,10.241.115.1,38510,246
1679497278.414471758,3927578671,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.414487599,3927578800,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.415525210,3927578869,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497278.415580346,3927578909,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497278.415598890,3927578939,,172.16.0.8,5760,10.241.115.1,38510,80
1679497278.476301909,3927578967,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.476360127,3927579096,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.476395809,3927579165,242,172.16.0.8,5760,10.241.115.1,38510,120
1679497278.485265972,3927579233,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.485282449,3927579362,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.556236352,3927579431,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.556261657,3927579560,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.556295843,3927579629,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497278.556303767,3927579669,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497278.565334957,3927579699,,172.16.0.8,5760,10.241.115.1,38510,80
1679497278.565392035,3927579727,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.615893423,4045123952,0,10.241.115.1,38510,172.16.0.8,5760,91
1679497278.620210909,3927579925,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.620278465,3927580054,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.636352850,3927580123,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.636452273,3927580252,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.636487116,3927580321,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497278.636495951,3927580361,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497278.645526289,3927579856,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.645667812,3927580391,,172.16.0.8,5760,10.241.115.1,38510,80
1679497278.720436353,3927580617,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497278.720510119,3927580746,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497278.720593444,3927580815,33,172.16.0.8,5760,10.241.115.1,38510,92
1679497278.765446870,3927580855,2,172.16.0.8,5760,10.241.115.1,38510,565
1679497278.774593569,3927581368,102,172.16.0.8,5760,10.241.115.1,38510,250
1679497278.776727062,3927581566,102,172.16.0.8,5760,10.241.115.1,38510,181
